dap,obs_value,depth_m,run_id,variable,obs_type,units,year,doy,valid
110,0.322457973,0.1,SC0072,swc,avg,cm3_cm3,2014,307,1
110,0.350898116,0.3,SC0072,swc,avg,cm3_cm3,2014,307,1
110,0.370728546,0.6,SC0072,swc,avg,cm3_cm3,2014,307,1
112,0.332062768,0.1,SC0072,swc,avg,cm3_cm3,2014,309,1
112,0.369635465,0.3,SC0072,swc,avg,cm3_cm3,2014,309,1
112,0.403760904,0.6,SC0072,swc,avg,cm3_cm3,2014,309,1
114,0.315454833,0.1,SC0072,swc,avg,cm3_cm3,2014,311,1
114,0.355504406,0.3,SC0072,swc,avg,cm3_cm3,2014,311,1
114,0.392064758,0.6,SC0072,swc,avg,cm3_cm3,2014,311,1
120,0.32188099,0.1,SC0072,swc,avg,cm3_cm3,2014,317,1
120,0.350525365,0.3,SC0072,swc,avg,cm3_cm3,2014,317,1
120,0.381143728,0.6,SC0072,swc,avg,cm3_cm3,2014,317,1
121,0.320218545,0.1,SC0072,swc,avg,cm3_cm3,2014,318,1
121,0.349702564,0.3,SC0072,swc,avg,cm3_cm3,2014,318,1
121,0.382595161,0.6,SC0072,swc,avg,cm3_cm3,2014,318,1
124,0.299162348,0.1,SC0072,swc,avg,cm3_cm3,2014,321,1
124,0.333326975,0.3,SC0072,swc,avg,cm3_cm3,2014,321,1
124,0.370955136,0.6,SC0072,swc,avg,cm3_cm3,2014,321,1
126,0.283627213,0.1,SC0072,swc,avg,cm3_cm3,2014,323,1
126,0.3243113,0.3,SC0072,swc,avg,cm3_cm3,2014,323,1
126,0.36391216,0.6,SC0072,swc,avg,cm3_cm3,2014,323,1
127,0.282834752,0.1,SC0072,swc,avg,cm3_cm3,2014,324,1
127,0.323739035,0.3,SC0072,swc,avg,cm3_cm3,2014,324,1
127,0.362801526,0.6,SC0072,swc,avg,cm3_cm3,2014,324,1
131,0.265956631,0.1,SC0072,swc,avg,cm3_cm3,2014,328,1
131,0.311326638,0.3,SC0072,swc,avg,cm3_cm3,2014,328,1
131,0.356354831,0.6,SC0072,swc,avg,cm3_cm3,2014,328,1
134,0.337126817,0.1,SC0072,swc,avg,cm3_cm3,2014,331,1
134,0.365872789,0.3,SC0072,swc,avg,cm3_cm3,2014,331,1
134,0.402845429,0.6,SC0072,swc,avg,cm3_cm3,2014,331,1
135,0.326075678,0.1,SC0072,swc,avg,cm3_cm3,2014,332,1
135,0.362533952,0.3,SC0072,swc,avg,cm3_cm3,2014,332,1
135,0.399941374,0.6,SC0072,swc,avg,cm3_cm3,2014,332,1
138,0.306817658,0.1,SC0072,swc,avg,cm3_cm3,2014,335,1
138,0.344802116,0.3,SC0072,swc,avg,cm3_cm3,2014,335,1
138,0.38542611,0.6,SC0072,swc,avg,cm3_cm3,2014,335,1
140,0.305931296,0.1,SC0072,swc,avg,cm3_cm3,2014,337,1
140,0.34425521,0.3,SC0072,swc,avg,cm3_cm3,2014,337,1
140,0.383214881,0.6,SC0072,swc,avg,cm3_cm3,2014,337,1
142,0.295132009,0.1,SC0072,swc,avg,cm3_cm3,2014,339,1
142,0.336899028,0.3,SC0072,swc,avg,cm3_cm3,2014,339,1
142,0.377800241,0.6,SC0072,swc,avg,cm3_cm3,2014,339,1
145,0.277917582,0.1,SC0072,swc,avg,cm3_cm3,2014,342,1
145,0.32365059,0.3,SC0072,swc,avg,cm3_cm3,2014,342,1
145,0.369128707,0.6,SC0072,swc,avg,cm3_cm3,2014,342,1
148,0.327063559,0.1,SC0072,swc,avg,cm3_cm3,2014,345,1
148,0.352731386,0.3,SC0072,swc,avg,cm3_cm3,2014,345,1
