run_jules,run_id,driv_id,soil_id,crop_id,sim_base,obs_id,description,site,country,lat,lon,crop_nm,variety,full_irrigation,plan_year,plan_doy,harv_year,harv_doy,spinup_days,label,planting_type,meta_base_temp,issue,gen_meta,templ_path,jules_model
TRUE,SC1072,DRPI1002,SLPI1005,CRSC5172,base_setup_10.csv,SC0072,JULES-Crop - ESALQ R2,Piracicaba - Faz. Areao (ESALQ),Brazil,-22.698538,-47.642881,Sugarcane,RB867515,FALSE,2014,196,2015,159,180,EQ-2-I,Ratoon2,meta_base_temp01.csv,,TRUE,/templates/versions/r16801_biocrop,JULES-Crop
TRUE,SC1003,DRPC1001,SLPC0001,CRSC5103,base_setup_10.csv,SC0003,JULES-Crop Sugarcane Rainfed (Suguitani & Laclau),Piracicaba - CTC,Brazil,-22.6931,-47.560563,Sugarcane,RB72454,FALSE,2004,303,2005,267,180,CT-0-R,Plant-Cane,meta_base_temp01.csv,,TRUE,/templates/versions/r16801_biocrop,JULES-Crop
