time,year,month,lat,lon,lw_down,sw_down,t,wind,q,pstar,Rainf_GPCC,precip,date_time_utc,date_time_local,cosz,diff_rad
313200,2003,1,-22.698538,-47.642881,435.71594,720.1603855,295.7142939,0.436442785,0.018122092,94335.38024,0.000360694,8.82E-05,01/04/2003 15:00,01/04/2003 12:00,0.999094523,655.3395842
324000,2003,1,-22.698538,-47.642881,446.0047,816.6023295,297.4340922,0.501562349,0.019578382,94136.78939,0.000388316,9.49E-05,01/04/2003 18:00,01/04/2003 15:00,0.777933457,629.1121337
334800,2003,1,-22.698538,-47.642881,434.4395,260.7500867,295.9115213,0.440553707,0.018334646,94028.99841,0.000450241,0.000110078,01/04/2003 21:00,01/04/2003 18:00,0.188529286,138.9172724
345600,2003,1,-22.698538,-47.642881,424.2792,1.619694853,294.9324832,0.541774052,0.017533047,94225.72336,0.000201178,4.92E-05,01/05/2003 0:00,01/04/2003 21:00,0,1.619694853
356400,2003,1,-22.698538,-47.642881,421.5551,0,296.031318,0.755056923,0.018462052,94208.78176,0.000436802,0,01/05/2003 3:00,01/05/2003 0:00,0,0
367200,2003,1,-22.698538,-47.642881,418.00214,0,295.6202812,1.070446284,0.018247953,94091.29091,0.000489855,0,01/05/2003 6:00,01/05/2003 3:00,0,0
378000,2003,1,-22.698538,-47.642881,417.0469,0.191299507,295.5198473,1.236280616,0.017932278,94157.72611,0.00056457,0,01/05/2003 9:00,01/05/2003 6:00,0.109429224,0.191299507
388800,2003,1,-22.698538,-47.642881,430.4143,89.99386237,296.2164463,1.295003794,0.01831888,94276.68291,0.000245879,0,01/05/2003 12:00,01/05/2003 9:00,0.722257599,89.99386237
399600,2003,1,-22.698538,-47.642881,441.76825,389.448651,298.7662202,1.208502703,0.020330669,94237.66218,0.00017947,0,01/05/2003 15:00,01/05/2003 12:00,0.999094296,364.2174881
410400,2003,1,-22.698538,-47.642881,442.58157,564.9846083,299.4342439,1.086967396,0.020475694,94080.87809,7.87E-05,0,01/05/2003 18:00,01/05/2003 15:00,0.777772132,392.7622127
421200,2003,1,-22.698538,-47.642881,434.28046,241.0265563,298.3095672,0.847485929,0.020152274,94010.3056,2.99E-05,0,01/05/2003 21:00,01/05/2003 18:00,0.187938629,90.57570652
